,,VENTAS DIARIAS ,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,WHATSAPP,INTAGRAM ,FACEBOOK 
1/01/2025,CANTIDAD ,0,0,0,0,0,0,,1-ene,CANT. CONTACTOS ,0,0,0,,17-ene,CANT. CONTACTOS ,6,3,0
,MONTO , S/  -   , S/  -   , S/  -   , S/  -   , S/  -   , S/  -   ,,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
2/01/2025,CANTIDAD ,0,0,0,0,5,5,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.1.148,80","S/.1.148,80",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
3/01/2025,CANTIDAD ,0,0,0,1,6,7,,2-ene,CANT. CONTACTOS ,2,1,0,,18-ene,CANT. CONTACTOS ,5,2,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.209,40","S/.2.174,04","S/.2.383,44",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
4/01/2025,CANTIDAD ,0,0,0,1,6,7,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.307,20","S/.2.514,20","S/.2.821,40",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
5/01/2025,CANTIDAD ,0,0,0,3,2,5,,3-ene,CANT. CONTACTOS ,4,3,0,,19-ene,CANT. CONTACTOS ,3,0,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.762,60","S/.395,12","S/.1.157,72",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
6/01/2025,CANTIDAD ,5,0,0,0,2,7,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.1.066,00","S/.0,00","S/.0,00","S/.0,00","S/.789,60","S/.1.855,60",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
7/01/2025,CANTIDAD ,0,0,0,0,6,6,,4-ene,CANT. CONTACTOS ,5,0,0,,20-ene,CANT. CONTACTOS ,6,3,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.1.699,90","S/.1.699,90",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
8/01/2025,CANTIDAD ,0,0,0,0,3,3,,,TASA DE VENTA ,0%,0,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.3.030,20","S/.3.030,20",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
9/01/2025,CANTIDAD ,0,0,0,2,0,2,,5-ene,CANT. CONTACTOS ,1,1,0,,21-ene,CANT. CONTACTOS ,3,2,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.249,00","S/.0,00","S/.249,00",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
10/01/2025,CANTIDAD ,0,0,0,0,6,6,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.2.102,00","S/.2.102,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
11/01/2025,CANTIDAD ,0,0,0,0,7,7,,6-ene,CANT. CONTACTOS ,8,1,1,,22-ene,CANT. CONTACTOS ,4,1,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.2.760,90","S/.2.760,90",,,CANT. VENTAS ,5,0,0,,,CANT. VENTAS ,0,1,0
12/01/2025,CANTIDAD ,0,0,0,0,5,5,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,0%,100%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.3.184,90","S/.3.184,90",,,MONTO TOTAL,"S/.1.066,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.227,20","S/.0,00"
13/01/2025,CANTIDAD ,0,0,0,1,2,3,,7-ene,CANT. CONTACTOS ,6,0,1,,23-ene,CANT. CONTACTOS ,2,3,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.214,00","S/.798,00","S/.1.012,00",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
14/01/2025,CANTIDAD ,0,0,0,0,5,5,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.2.962,00","S/.2.962,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
15/01/2025,CANTIDAD ,1,0,0,2,4,7,,8-ene,CANT. CONTACTOS ,5,1,1,,24-ene,CANT. CONTACTOS ,5,2,0
,MONTO ,"S/.104,44","S/.0,00","S/.0,00","S/.732,00","S/.1.803,60","S/.2.640,04",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
16/01/2025,CANTIDAD ,0,0,0,1,1,2,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.131,40","S/.378,00","S/.509,40",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
17/01/2025,CANTIDAD ,0,0,0,1,3,4,,9-ene,CANT. CONTACTOS ,1,0,0,,25-ene,CANT. CONTACTOS ,3,1,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.69,00","S/.2.103,00","S/.2.172,00",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,1,0,0
18/01/2025,CANTIDAD ,0,0,0,1,3,4,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.69,00","S/.3.312,00","S/.3.381,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.49,00","S/.0,00","S/.0,00"
19/01/2025,CANTIDAD ,0,0,0,3,0,3,,10-ene,CANT. CONTACTOS ,7,3,1,,26-ene,CANT. CONTACTOS ,5,0,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.1.447,20","S/.0,00","S/.1.447,20",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
20/01/2025,CANTIDAD ,0,0,0,3,3,6,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.1.177,40","S/.516,20","S/.1.693,60",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
21/01/2025,CANTIDAD ,0,0,0,1,9,10,,11-ene,CANT. CONTACTOS ,4,1,0,,27-ene,CANT. CONTACTOS ,2,1,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.611,80","S/.3.013,40","S/.3.625,20",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
22/01/2025,CANTIDAD ,0,1,0,1,2,4,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.0,00","S/.227,20","S/.0,00","S/.288,90","S/.507,00","S/.1.023,10",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
23/01/2025,CANTIDAD ,0,0,0,0,3,3,,12-ene,CANT. CONTACTOS ,4,2,0,,28-ene,CANT. CONTACTOS ,6,1,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.733,50","S/.733,50",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
24/01/2025,CANTIDAD ,1,0,0,3,7,11,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.49,00","S/.0,00","S/.0,00","S/.757,30","S/.2.685,60","S/.3.491,90",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
25/01/2025,CANTIDAD ,0,0,0,1,2,3,,13-ene,CANT. CONTACTOS ,6,12,0,,29-ene,CANT. CONTACTOS ,3,5,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.199,40","S/.638,40","S/.837,80",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
26/01/2025,CANTIDAD ,0,0,0,1,1,2,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.613,40","S/.637,60","S/.1.251,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
27/01/2025,CANTIDAD ,0,0,0,1,2,3,,14-ene,CANT. CONTACTOS ,6,5,0,,30-ene,CANT. CONTACTOS ,4,0,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.139,40","S/.374,90","S/.514,30",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
28/01/2025,CANTIDAD ,0,0,0,1,2,3,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.218,40","S/.777,80","S/.996,20",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
29/01/2025,CANTIDAD ,0,0,0,0,1,1,,15-ene,CANT. CONTACTOS ,6,3,0,,31-ene,CANT. CONTACTOS ,1,0,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.189,00","S/.189,00",,,CANT. VENTAS ,1,0,0,,,CANT. VENTAS ,0,0,0
30/01/2025,CANTIDAD ,0,0,0,0,2,2,,,TASA DE VENTA ,36%%,0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.1.273,00","S/.1.273,00",,,MONTO TOTAL,"S/.104,44","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
31/01/2025,CANTIDAD ,0,0,0,0,3,3,,16-ene,CANT. CONTACTOS ,6,2,0,,,,,,
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.2.242,90","S/.2.242,90",,,CANT. VENTAS ,0,0,0,,,,,,
,,,,,,,,,,TASA DE VENTA ,"0,00%",0%,0%,,,,,,
,,,,,,,,,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,,,,