,,VENTAS DIARIAS 
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,SHOWROOM ,WEB ,TIENDA,TOTAL 
46204,CANTIDAD ,1,0,0,1,2,6,10
,MONTO ,119,0,0,442.6,719.5,3671.7,4952.799999999999
46205,CANTIDAD ,0,0,0,1,4,6,11
,MONTO ,0,0,0,127.6,1119.6,2467.8,3715
46206,CANTIDAD ,1,0,0,3,2,8,14
,MONTO ,95.8,0,0,1491.2,213.64,1568.4,3369.04
46207,CANTIDAD ,0,0,0,0,3,10,13
,MONTO ,0,0,0,0,436,2945.3,3381.3
46208,CANTIDAD ,0,0,0,0,2,3,5
,MONTO ,0,0,0,0,477.7,570.7,1048.4
46209,CANTIDAD ,1,0,0,2,3,5,11
,MONTO ,75.6,0,0,1174.2,582.3,1076.2,2908.3
46210,CANTIDAD ,0,0,0,0,3,10,13
,MONTO ,0,0,0,0,1688.4,2763.19,4451.59
46211,CANTIDAD ,0,0,0,1,2,6,9
,MONTO ,0,0,0,286.8,770.8,2641.3,3698.9
46212,CANTIDAD ,1,0,0,0,2,6,9
,MONTO ,164.4,0,0,0,449.4,1542,2155.8
46213,CANTIDAD ,0,0,0,1,0,5,6
,MONTO ,0,0,0,151.6,0,2021.6,2173.2
46214,CANTIDAD ,0,0,0,0,2,13,15
,MONTO ,0,0,0,0,691.6,2794.1,3485.7
46215,CANTIDAD ,0,0,0,0,0,5,5
,MONTO ,0,0,0,0,0,769.6,769.6
46216,CANTIDAD ,2,0,0,0,1,8,11
,MONTO ,677.6,0,0,0,212.4,2624.5,3514.5
46217,CANTIDAD ,1,0,0,0,0,2,3
,MONTO ,1085.6,0,0,0,0,1107,2192.6
46218,CANTIDAD ,0,0,0,0,1,3,4
,MONTO ,0,0,0,0,264,288.8,552.8
46219,CANTIDAD ,1,1,0,1,0,4,7
,MONTO ,355.2,429.8,0,185.4,0,1385.3,2355.7
46220,CANTIDAD ,0,0,0,0,2,5,7
,MONTO ,0,0,0,0,506.2,1335.7,1841.9
46221,CANTIDAD ,0,0,0,0,0,10,10
,MONTO ,0,0,0,0,0,2460.2,2460.2
46222,CANTIDAD ,0,0,0,0,1,3,4
,MONTO ,0,0,0,0,151.2,1671.4,1822.6000000000001
46223,CANTIDAD ,,,,,,,0
,MONTO ,,,,,,,0
46224,CANTIDAD ,,,,,,,0
,MONTO ,,,,,,,0
46225,CANTIDAD ,,,,,,,0
,MONTO ,,,,,,,0
46226,CANTIDAD ,,,,,,,0
,MONTO ,,,,,,,0
46227,CANTIDAD ,,,,,,,0
,MONTO ,,,,,,,0
46228,CANTIDAD ,,,,,,,0
,MONTO ,,,,,,,0
46229,CANTIDAD ,,,,,,,0
,MONTO ,,,,,,,0
46230,CANTIDAD ,,,,,,,0
,MONTO ,,,,,,,0
46231,CANTIDAD ,,,,,,,0
,MONTO ,,,,,,,0
46232,CANTIDAD ,,,,,,,0
,MONTO ,,,,,,,0
46233,CANTIDAD ,,,,,,,0
,MONTO ,,,,,,,0
46234,CANTIDAD ,,,,,,,0
,MONTO ,,,,,,,0